"","Month","LongDes","TotItemQty","Brand"
"1",1,"BBELL ASST FLAVOR PINTS 16OZ",6734,"BLUE BELL"
"2",1,"BLUE BELL AST SHERBET 32OZ",516,"BLUE BELL"
"3",1,"BLUE BELL BANANA POPS",189,"BLUE BELL"
"4",1,"BLUE BELL BRTHDAY CK CUPS 12EA",99,"BLUE BELL"
"5",1,"BLUE BELL CHOC ECLAIR BAR 1EA",1,"BLUE BELL"
"6",1,"BLUE BELL COCONUT FRUIT BARS",184,"BLUE BELL"
"7",1,"BLUE BELL COTTON CANDY BARS",71,"BLUE BELL"
"8",1,"BLUE BELL DBL VNLA IC SNDW 1EA",69,"BLUE BELL"
"9",1,"BLUE BELL DREAM BAR",201,"BLUE BELL"
"10",1,"BLUE BELL HMADE VAN CUPS 12EA",371,"BLUE BELL"
"11",1,"BLUE BELL KRUNCH BARS 12EA",383,"BLUE BELL"
"12",1,"BLUE BELL LIME FRUIT BARS",254,"BLUE BELL"
"13",1,"BLUE BELL MINI CONE 12EA",154,"BLUE BELL"
"14",1,"BLUE BELL MINI PARTY CONES",58,"BLUE BELL"
"15",1,"BLUE BELL MOOO BAR",13,"BLUE BELL"
"16",1,"BLUE BELL PEACH FRUIT BARS",129,"BLUE BELL"
"17",1,"BLUE BELL SOUR POPS GREEN APPLE",29,"BLUE BELL"
"18",1,"BLUE BELL STRAWBERRY DIPPED FRUIT BARS",197,"BLUE BELL"
"19",1,"BLUE BELL STRWBRY SHRTCK BR 1EA",115,"BLUE BELL"
"20",1,"BLUEBELL MINI RAINBOWS 24EA",69,"BLUE BELL"
"21",1,"BLUEBELL MOOO BARS 12EA",375,"BLUE BELL"
"22",1,"BLUEBELL NS ADDED PT 16OZ",134,"BLUE BELL"
"23",1,"BLUEBELL SF BULLETS 24EA",163,"BLUE BELL"
"24",1,"BLUEBELL SHERBET RAINBOW 16OZ",162,"BLUE BELL"
"25",2,"BBELL ASST FLAVOR PINTS 16OZ",6562,"BLUE BELL"
"26",2,"BLUE BELL AST SHERBET 32OZ",691,"BLUE BELL"
"27",2,"BLUE BELL BANANA POPS",156,"BLUE BELL"
"28",2,"BLUE BELL BRTHDAY CK CUPS 12EA",94,"BLUE BELL"
"29",2,"BLUE BELL CHOC ECLAIR BAR 1EA",1,"BLUE BELL"
"30",2,"BLUE BELL COCONUT FRUIT BARS",161,"BLUE BELL"
"31",2,"BLUE BELL COTTON CANDY BARS",54,"BLUE BELL"
"32",2,"BLUE BELL DBL VNLA IC SNDW 1EA",104,"BLUE BELL"
"33",2,"BLUE BELL DREAM BAR",205,"BLUE BELL"
"34",2,"BLUE BELL HMADE VAN CUPS 12EA",322,"BLUE BELL"
"35",2,"BLUE BELL KRUNCH BARS 12EA",346,"BLUE BELL"
"36",2,"BLUE BELL LIME FRUIT BARS",217,"BLUE BELL"
"37",2,"BLUE BELL MINI CONE 12EA",164,"BLUE BELL"
"38",2,"BLUE BELL MINI PARTY CONES",79,"BLUE BELL"
"39",2,"BLUE BELL MOOO BAR",7,"BLUE BELL"
"40",2,"BLUE BELL PEACH FRUIT BARS",140,"BLUE BELL"
"41",2,"BLUE BELL SOUR POPS GREEN APPLE",35,"BLUE BELL"
"42",2,"BLUE BELL STRAWBERRY DIPPED FRUIT BARS",146,"BLUE BELL"
"43",2,"BLUE BELL STRWBRY SHRTCK BR 1EA",99,"BLUE BELL"
"44",2,"BLUEBELL MINI RAINBOWS 24EA",97,"BLUE BELL"
"45",2,"BLUEBELL MOOO BARS 12EA",384,"BLUE BELL"
"46",2,"BLUEBELL NS ADDED PT 16OZ",133,"BLUE BELL"
"47",2,"BLUEBELL SF BULLETS 24EA",128,"BLUE BELL"
"48",2,"BLUEBELL SHERBET RAINBOW 16OZ",144,"BLUE BELL"
"49",3,"BBELL ASST FLAVOR PINTS 16OZ",6133,"BLUE BELL"
"50",3,"BLUE BELL AST SHERBET 32OZ",437,"BLUE BELL"
"51",3,"BLUE BELL BANANA POPS",134,"BLUE BELL"
"52",3,"BLUE BELL BRTHDAY CK CUPS 12EA",72,"BLUE BELL"
"53",3,"BLUE BELL COCONUT FRUIT BARS",86,"BLUE BELL"
"54",3,"BLUE BELL COTTON CANDY BARS",43,"BLUE BELL"
"55",3,"BLUE BELL DBL VNLA IC SNDW 1EA",56,"BLUE BELL"
"56",3,"BLUE BELL DREAM BAR",108,"BLUE BELL"
"57",3,"BLUE BELL HMADE VAN CUPS 12EA",316,"BLUE BELL"
"58",3,"BLUE BELL KRUNCH BARS 12EA",202,"BLUE BELL"
"59",3,"BLUE BELL LIME FRUIT BARS",115,"BLUE BELL"
"60",3,"BLUE BELL MINI CONE 12EA",97,"BLUE BELL"
"61",3,"BLUE BELL MINI PARTY CONES",45,"BLUE BELL"
"62",3,"BLUE BELL MOOO BAR",1,"BLUE BELL"
"63",3,"BLUE BELL PEACH FRUIT BARS",86,"BLUE BELL"
"64",3,"BLUE BELL SOUR POPS GREEN APPLE",14,"BLUE BELL"
"65",3,"BLUE BELL STRAWBERRY DIPPED FRUIT BARS",129,"BLUE BELL"
"66",3,"BLUE BELL STRWBRY SHRTCK BR 1EA",67,"BLUE BELL"
"67",3,"BLUEBELL MINI RAINBOWS 24EA",64,"BLUE BELL"
"68",3,"BLUEBELL MOOO BARS 12EA",227,"BLUE BELL"
"69",3,"BLUEBELL NS ADDED PT 16OZ",131,"BLUE BELL"
