"","Month","LongDes","TotItemQty","Brand"
"1",1,"*CV*DIPPIN DOTS BAN SPLIT",86,"OTHER"
"2",1,"*CV*DIPPIN DOTS CHOC",76,"OTHER"
"3",1,"*CV*DIPPIN DOTS CKIE DGH",49,"OTHER"
"4",1,"*CV*DIPPIN DOTS CKIES/CRM",60,"OTHER"
"5",1,"*CV*DIPPIN DOTS COTTON CANDY",17,"OTHER"
"6",1,"*CV*DIPPIN DOTS ICE RNBW",132,"OTHER"
"7",1,"*CV*DIPPIN DOTS MINT CHOC",47,"OTHER"
"8",1,"*CV*DIPPIN DOTS STRAWBERRY",19,"OTHER"
"9",1,"*CV*DIPPIN DOTS VAN ICE CRM",38,"OTHER"
"10",1,"*D* CLEMMYS IC COFFEE",3,"OTHER"
"11",1,"*D*B&JS COLBERT AMERICONE DRM 16OZ",1,"OTHER"
"12",1,"*D*HD CHOCOLATE CUP 24PK",1,"OTHER"
"13",1,"*D*HD COFFEE CUP 24PK",1,"OTHER"
"14",1,"*D*HD DULCE DE LECHE CUP 24PK",1,"OTHER"
"15",1,"*D*HD VANILLA CUP 24PK",1,"OTHER"
"16",1,"*D*TALENTI GELATO MILK CHOC",1,"OTHER"
"17",1,"*R* DREYERS FRT BAR LIME 6CT",105,"OTHER"
"18",1,"*R* HD DULCE DE LECHE CARAMEL 14OZ",49,"OTHER"
"19",1,"*Z*CADBURY CARAMELLO RED FAT IC BAR",1,"OTHER"
"20",1,"ALDENS ICE CREAM CHOC CHP 48OZ",13,"OTHER"
"21",1,"ALDENS ICE CREAM CKIE CRM 48OZ",4,"OTHER"
"22",1,"ALDENS ICE CREAM VANILLA 48OZ",27,"OTHER"
"23",1,"ALDENS ICRM MINT CHIP OG2 48OZ",2,"OTHER"
"24",1,"ALMD DRM BITES VAN 6.6 OZ",9,"OTHER"
"25",1,"ALMD DRM CHOCOLATE FROZN 16 OZ",21,"OTHER"
"26",1,"ALMD DRM PRALINE CRNCH 16OZ",33,"OTHER"
"27",1,"ALMD DRM VANILLA FROZL 16 OZ",3,"OTHER"
"28",1,"ARTIC ZERO ICE CRM CHOC",26,"OTHER"
"29",1,"ARTIC ZERO ICE CRM CHOC PNUT BTTR",26,"OTHER"
"30",1,"ARTIC ZERO ICE CRM COFFEE",24,"OTHER"
"31",1,"ARTIC ZERO ICE CRM COOKIE N CRM",50,"OTHER"
"32",1,"ARTIC ZERO ICE CRM MINT CHOC CKY",23,"OTHER"
"33",1,"ARTIC ZERO ICE CRM VANILLA",47,"OTHER"
"34",1,"B BELL ASST FRZN YOGURT HG 64OZ",71,"OTHER"
"35",1,"B BELL ASST GOLD ICE CRM HG 64OZ",5223,"OTHER"
"36",1,"B BELL BROWN RIM I/CREAM HG 64OZ",2081,"OTHER"
"37",1,"B BELL LIGHT I/CREAM HG 64OZ",172,"OTHER"
"38",1,"B BELL NO SUGAR ADDED HG 64OZ",339,"OTHER"
"39",1,"B&J BAN P/BTR GRK YOG",19,"OTHER"
"40",1,"B&J BLBRY VAN GRHM GRK YOG",16,"OTHER"
"41",1,"B&J CHEESECAKE BROWNIE 16OZ",50,"OTHER"
"42",1,"B&J CHERRY GARCIA 16OZ",121,"OTHER"
"43",1,"B&J CHERRY GARCIA CUP 12PK",117,"OTHER"
"44",1,"B&J CHOC FDG BROWNIE 16OZ",115,"OTHER"
"45",1,"B&J CHOC FDG BROWNIE CUP 12PK",19,"OTHER"
"46",1,"B&J CHOCC CHP COOKIE DOUGH 16OZ",94,"OTHER"
"47",1,"B&J CHUNKEY MONKEY 16OZ",53,"OTHER"
"48",1,"B&J CINNAMON BUNS 16OZ",61,"OTHER"
"49",1,"B&J COFFEE BUZZ",45,"OTHER"
"50",1,"B&J COFFEE W/HEATH 16OZ",45,"OTHER"
"51",1,"B&J COOKIE DOUGH CUP 12PK",268,"OTHER"
"52",1,"B&J FY CHERRY GARCIA",54,"OTHER"
"53",1,"B&J KARAMEL SUTRA 16OZ",80,"OTHER"
"54",1,"B&J LMN BLBRY GRK YOG",3,"OTHER"
"55",1,"B&J MILK & COOKIES",77,"OTHER"
"56",1,"B&J NEW YORK SUPER FUDGE 16OZ",36,"OTHER"
"57",1,"B&J PEANUT BUTTER CUP 16OZ",45,"OTHER"
"58",1,"B&J PHISH FOOD PT 16OZ",90,"OTHER"
"59",1,"B&J RASP FDG CHNK GRK YOG",20,"OTHER"
