"","Month","Brand","TotItemQty"
"1",1,"BLUE BELL",10670
"2",1,"OTHER",28613
"3",2,"BLUE BELL",10469
"4",2,"OTHER",26017
"5",3,"BLUE BELL",8795
"6",3,"OTHER",24303
"7",4,"BLUE BELL",7862
"8",4,"OTHER",22105
"9",5,"BLUE BELL",9701
"10",5,"OTHER",27441
"11",6,"BLUE BELL",8567
"12",6,"OTHER",26593
"13",7,"BLUE BELL",10847
"14",7,"OTHER",32916
"15",8,"BLUE BELL",3800
"16",8,"OTHER",33252
"17",9,"BLUE BELL",-47
"18",9,"OTHER",36286
"19",10,"BLUE BELL",-4
"20",10,"OTHER",68542
"21",11,"OTHER",72176
"22",12,"OTHER",67473
"23",13,"OTHER",66031
"24",14,"OTHER",57173
"25",15,"OTHER",51860
"26",16,"BLUE BELL",8527
"27",16,"OTHER",56106
"28",17,"BLUE BELL",8959
"29",17,"OTHER",53257
"30",18,"BLUE BELL",7176
"31",18,"OTHER",60574
"32",19,"BLUE BELL",8377
"33",19,"OTHER",59542
"34",20,"BLUE BELL",8579
"35",20,"OTHER",67742
"36",21,"BLUE BELL",9809
"37",21,"OTHER",67304
"38",22,"BLUE BELL",9066
"39",22,"OTHER",69452
"40",23,"BLUE BELL",10073
"41",23,"OTHER",82385
"42",24,"BLUE BELL",20790
"43",24,"OTHER",106548
