"","month","LongDes","sum(ItemQuant)"
"1",1,"*CV*DIPPIN DOTS BAN SPLIT",86
"2",1,"*CV*DIPPIN DOTS CHOC",76
"3",1,"*CV*DIPPIN DOTS CKIE DGH",49
"4",1,"*CV*DIPPIN DOTS CKIES/CRM",60
"5",1,"*CV*DIPPIN DOTS COTTON CANDY",17
"6",1,"*CV*DIPPIN DOTS ICE RNBW",132
"7",1,"*CV*DIPPIN DOTS MINT CHOC",47
"8",1,"*CV*DIPPIN DOTS STRAWBERRY",19
"9",1,"*CV*DIPPIN DOTS VAN ICE CRM",38
"10",1,"*D* CLEMMYS IC COFFEE",3
"11",1,"*D*B&JS COLBERT AMERICONE DRM 16OZ",1
"12",1,"*D*HD CHOCOLATE CUP 24PK",1
"13",1,"*D*HD COFFEE CUP 24PK",1
"14",1,"*D*HD DULCE DE LECHE CUP 24PK",1
"15",1,"*D*HD VANILLA CUP 24PK",1
"16",1,"*D*TALENTI GELATO MILK CHOC",1
"17",1,"*R* DREYERS FRT BAR LIME 6CT",105
"18",1,"*R* HD DULCE DE LECHE CARAMEL 14OZ",49
"19",1,"*Z*CADBURY CARAMELLO RED FAT IC BAR",1
"20",1,"ALDENS ICE CREAM CHOC CHP 48OZ",13
"21",1,"ALDENS ICE CREAM CKIE CRM 48OZ",4
"22",1,"ALDENS ICE CREAM VANILLA 48OZ",27
"23",1,"ALDENS ICRM MINT CHIP OG2 48OZ",2
"24",1,"ALMD DRM BITES VAN 6.6 OZ",9
"25",1,"ALMD DRM CHOCOLATE FROZN 16 OZ",21
"26",1,"ALMD DRM PRALINE CRNCH 16OZ",33
"27",1,"ALMD DRM VANILLA FROZL 16 OZ",3
"28",1,"ARTIC ZERO ICE CRM CHOC",26
"29",1,"ARTIC ZERO ICE CRM CHOC PNUT BTTR",26
"30",1,"ARTIC ZERO ICE CRM COFFEE",24
"31",1,"ARTIC ZERO ICE CRM COOKIE N CRM",50
"32",1,"ARTIC ZERO ICE CRM MINT CHOC CKY",23
"33",1,"ARTIC ZERO ICE CRM VANILLA",47
"34",1,"B BELL ASST FRZN YOGURT HG 64OZ",71
"35",1,"B BELL ASST GOLD ICE CRM HG 64OZ",5223
"36",1,"B BELL BROWN RIM I/CREAM HG 64OZ",2081
"37",1,"B BELL LIGHT I/CREAM HG 64OZ",172
"38",1,"B BELL NO SUGAR ADDED HG 64OZ",339
"39",1,"B&J BAN P/BTR GRK YOG",19
"40",1,"B&J BLBRY VAN GRHM GRK YOG",16
"41",1,"B&J CHEESECAKE BROWNIE 16OZ",50
"42",1,"B&J CHERRY GARCIA 16OZ",121
"43",1,"B&J CHERRY GARCIA CUP 12PK",117
"44",1,"B&J CHOC FDG BROWNIE 16OZ",115
"45",1,"B&J CHOC FDG BROWNIE CUP 12PK",19
"46",1,"B&J CHOCC CHP COOKIE DOUGH 16OZ",94
"47",1,"B&J CHUNKEY MONKEY 16OZ",53
"48",1,"B&J CINNAMON BUNS 16OZ",61
"49",1,"B&J COFFEE BUZZ",45
"50",1,"B&J COFFEE W/HEATH 16OZ",45
"51",1,"B&J COOKIE DOUGH CUP 12PK",268
"52",1,"B&J FY CHERRY GARCIA",54
"53",1,"B&J KARAMEL SUTRA 16OZ",80
"54",1,"B&J LMN BLBRY GRK YOG",3
"55",1,"B&J MILK & COOKIES",77
"56",1,"B&J NEW YORK SUPER FUDGE 16OZ",36
"57",1,"B&J PEANUT BUTTER CUP 16OZ",45
"58",1,"B&J PHISH FOOD PT 16OZ",90
"59",1,"B&J RASP FDG CHNK GRK YOG",20
"60",1,"B&J RED VELVET CAKE ICE CRM",34
"61",1,"B&J STEPHEN COLBERTS AMERICONE DREAM",91
"62",1,"B&J STRW SHRCK GRK YOG",20
"63",1,"B&J VANILLA",3
"64",1,"B&J VANILLA 16OZ",1
"65",1,"B&J YOGURT CHERRY GARCIA",1
"66",1,"B.BELL FUDGE BARS 12EA",580
"67",1,"B/BNY SWEET FREEDOM VAN SNACK SIZE CONES",45
"68",1,"BB ALMOND BAR SINGLE 1EA",13
"69",1,"BB BANANA FUDGE BAR",266
"70",1,"BB BDAY PARTY SNDWCH 8PK",30
"71",1,"BB BULLETS 24EA",130
"72",1,"BB CHAMP VAR PK CONES",47
"73",1,"BB CHOC & VAN CUPS 12EA",293
"74",1,"BB CHOC CHIP COOKIE SINGLE 5,25OZ",160
"75",1,"BB CHOC CHRY BARS 12PK",53
"76",1,"BB CHOC FUDGE BAR",77
"77",1,"BB CKS/CREAM SANDWICH SINGLE 1EA",208
"78",1,"BB CNTRY CONE CKS/CRM SGL 1EA",200
"79",1,"BB CNTRY CONE VANILLA SINGLE 1EA",212
"80",1,"BB CREME POPS 24EA",56
"81",1,"BB DIPPED COCONUT FRT BARS",132
"82",1,"BB FUDGE BOMBSTIK SINGLE 1EA",473
"83",1,"BB GREAT DIVIDE SINGLES 1EA",13
"84",1,"BB HOMEMADE VANILLA CUP SGL 1EA",181
"85",1,"BB ICE CREAM SANDWICH 12EA",271
"86",1,"BB ICE CREAM SANDWICH SINGLE 1EA",203
"87",1,"BB KRUNCH BAR SINGLE 1EA",69
"88",1,"BB LIME FRUIT BAR SNGLE",16
"89",1,"BB MINI SANDWICH 24EA",195
"90",1,"BB MINI SWIRL CRML CONES 18OZ",51
"91",1,"BB MINT CCHIP BARS",106
"92",1,"BB MIXED BERRIES FRT BARS",173
"93",1,"BB NEAO SANDWICH SINGLE 5,75OZ",88
"94",1,"BB NSA MOOO BARS 12EA",100
"95",1,"BB RAINBOW FREEZE SINGLE 1EA",171
"96",1,"BB RAINBOW POP UPS SINGLE 1EA",98
"97",1,"BB SMPLY VAN SNCWCH 8PK",50
"98",1,"BB STRW FRUIT BARS",501
"99",1,"BB SUNDAE CUPS",99
"100",1,"BB TRPL DLGHT SNDWCH 8PK",47
"101",1,"BBELL ASST FLAVOR PINTS 16OZ",6734
"102",1,"BBNY CARAMEL KRUNCH BARS 12EA",35
"103",1,"BBNY CHAMP CONE VAN 6EA",58
"104",1,"BBNY FUDGE BARS 12EA",11
"105",1,"BBNY SWT FRDM IC LITES 12EA",51
