,X,month,LongDes,sum.ItemQuant.
1,68,1,BB ALMOND BAR SINGLE 1EA,13
2,69,1,BB BANANA FUDGE BAR,266
3,70,1,BB BDAY PARTY SNDWCH 8PK,30
4,71,1,BB BULLETS 24EA,130
5,72,1,BB CHAMP VAR PK CONES,47
6,73,1,BB CHOC & VAN CUPS 12EA,293
7,74,1,"BB CHOC CHIP COOKIE SINGLE 5,25OZ",160
8,75,1,BB CHOC CHRY BARS 12PK,53
9,76,1,BB CHOC FUDGE BAR,77
10,77,1,BB CKS/CREAM SANDWICH SINGLE 1EA,208
11,78,1,BB CNTRY CONE CKS/CRM SGL 1EA,200
12,79,1,BB CNTRY CONE VANILLA SINGLE 1EA,212
13,80,1,BB CREME POPS 24EA,56
14,81,1,BB DIPPED COCONUT FRT BARS,132
15,82,1,BB FUDGE BOMBSTIK SINGLE 1EA,473
16,83,1,BB GREAT DIVIDE SINGLES 1EA,13
17,84,1,BB HOMEMADE VANILLA CUP SGL 1EA,181
18,85,1,BB ICE CREAM SANDWICH 12EA,271
19,86,1,BB ICE CREAM SANDWICH SINGLE 1EA,203
20,87,1,BB KRUNCH BAR SINGLE 1EA,69
21,88,1,BB LIME FRUIT BAR SNGLE,16
22,89,1,BB MINI SANDWICH 24EA,195
23,90,1,BB MINI SWIRL CRML CONES 18OZ,51
24,91,1,BB MINT CCHIP BARS,106
25,92,1,BB MIXED BERRIES FRT BARS,173
26,93,1,"BB NEAO SANDWICH SINGLE 5,75OZ",88
27,94,1,BB NSA MOOO BARS 12EA,100
28,95,1,BB RAINBOW FREEZE SINGLE 1EA,171
29,96,1,BB RAINBOW POP UPS SINGLE 1EA,98
30,97,1,BB SMPLY VAN SNCWCH 8PK,50
31,98,1,BB STRW FRUIT BARS,501
32,99,1,BB SUNDAE CUPS,99
33,100,1,BB TRPL DLGHT SNDWCH 8PK,47
34,110,1,BLUE BELL AST SHERBET 32OZ,516
35,111,1,BLUE BELL BANANA POPS,189
36,112,1,BLUE BELL BRTHDAY CK CUPS 12EA,99
37,113,1,BLUE BELL CHOC ECLAIR BAR 1EA,1
38,114,1,BLUE BELL COCONUT FRUIT BARS,184
39,115,1,BLUE BELL COTTON CANDY BARS,71
40,116,1,BLUE BELL DBL VNLA IC SNDW 1EA,69
41,117,1,BLUE BELL DREAM BAR,201
42,118,1,BLUE BELL HMADE VAN CUPS 12EA,371
43,119,1,BLUE BELL KRUNCH BARS 12EA,383
44,120,1,BLUE BELL LIME FRUIT BARS,254
45,121,1,BLUE BELL MINI CONE 12EA,154
46,122,1,BLUE BELL MINI PARTY CONES,58
47,123,1,BLUE BELL MOOO BAR,13
48,124,1,BLUE BELL PEACH FRUIT BARS,129
49,125,1,BLUE BELL SOUR POPS GREEN APPLE,29
50,126,1,BLUE BELL STRAWBERRY DIPPED FRUIT BARS,197
51,127,1,BLUE BELL STRWBRY SHRTCK BR 1EA,115
52,132,1,BLUEBELL MINI RAINBOWS 24EA,69
53,133,1,BLUEBELL MOOO BARS 12EA,375
54,134,1,BLUEBELL NS ADDED PT 16OZ,134
55,135,1,BLUEBELL SF BULLETS 24EA,163
56,136,1,BLUEBELL SHERBET RAINBOW 16OZ,162
57,514,2,BB ALMOND BAR SINGLE 1EA,12
58,515,2,BB BANANA FUDGE BAR,333
59,516,2,BB BDAY PARTY SNDWCH 8PK,30
60,517,2,BB BULLETS 24EA,170
61,518,2,BB CHAMP VAR PK CONES,32
62,519,2,BB CHOC & VAN CUPS 12EA,265
63,520,2,"BB CHOC CHIP COOKIE SINGLE 5,25OZ",140
64,521,2,BB CHOC CHRY BARS 12PK,39
65,522,2,BB CHOC FUDGE BAR,82
66,523,2,BB CKS/CREAM SANDWICH SINGLE 1EA,235
67,524,2,BB CNTRY CONE CKS/CRM SGL 1EA,174
68,525,2,BB CNTRY CONE VANILLA SINGLE 1EA,185
69,526,2,BB CREME POPS 24EA,52
70,527,2,BB DIPPED COCONUT FRT BARS,103
71,528,2,BB FUDGE BOMBSTIK SINGLE 1EA,350
72,529,2,BB GREAT DIVIDE SINGLES 1EA,29
73,530,2,BB HOMEMADE VANILLA CUP SGL 1EA,154
74,531,2,BB ICE CREAM SANDWICH 12EA,187
75,532,2,BB ICE CREAM SANDWICH SINGLE 1EA,213
76,533,2,BB KRUNCH BAR SINGLE 1EA,63
77,534,2,BB LIME FRUIT BAR SNGLE,5
78,535,2,BB MINI SANDWICH 24EA,151
79,536,2,BB MINI SWIRL CRML CONES 18OZ,35
80,537,2,BB MINT CCHIP BARS,72
81,538,2,BB MIXED BERRIES FRT BARS,151
82,539,2,"BB NEAO SANDWICH SINGLE 5,75OZ",131
83,540,2,BB NSA MOOO BARS 12EA,92
84,541,2,BB RAINBOW FREEZE SINGLE 1EA,153
85,542,2,BB RAINBOW POP UPS SINGLE 1EA,101
86,543,2,BB SMPLY VAN SNCWCH 8PK,45
87,544,2,BB STRW FRUIT BARS,395
88,545,2,BB SUNDAE CUPS,81
89,546,2,BB TRPL DLGHT SNDWCH 8PK,39
90,556,2,BLUE BELL AST SHERBET 32OZ,691
91,557,2,BLUE BELL BANANA POPS,156
92,558,2,BLUE BELL BRTHDAY CK CUPS 12EA,94
93,559,2,BLUE BELL CHOC ECLAIR BAR 1EA,1
94,560,2,BLUE BELL COCONUT FRUIT BARS,161
95,561,2,BLUE BELL COTTON CANDY BARS,54
96,562,2,BLUE BELL DBL VNLA IC SNDW 1EA,104
97,563,2,BLUE BELL DREAM BAR,205
98,564,2,BLUE BELL HMADE VAN CUPS 12EA,322
99,565,2,BLUE BELL KRUNCH BARS 12EA,346
100,566,2,BLUE BELL LIME FRUIT BARS,217
101,567,2,BLUE BELL MINI CONE 12EA,164
102,568,2,BLUE BELL MINI PARTY CONES,79
103,569,2,BLUE BELL MOOO BAR,7
104,570,2,BLUE BELL PEACH FRUIT BARS,140
105,571,2,BLUE BELL SOUR POPS GREEN APPLE,35
106,572,2,BLUE BELL STRAWBERRY DIPPED FRUIT BARS,146
107,573,2,BLUE BELL STRWBRY SHRTCK BR 1EA,99
108,578,2,BLUEBELL MINI RAINBOWS 24EA,97
109,579,2,BLUEBELL MOOO BARS 12EA,384
110,580,2,BLUEBELL NS ADDED PT 16OZ,133
111,581,2,BLUEBELL SF BULLETS 24EA,128
112,582,2,BLUEBELL SHERBET RAINBOW 16OZ,144
113,952,3,BB BANANA FUDGE BAR,176
114,953,3,BB BDAY PARTY SNDWCH 8PK,18
115,954,3,BB BULLETS 24EA,116
116,955,3,BB CHAMP VAR PK CONES,14
117,956,3,BB CHOC & VAN CUPS 12EA,252
118,957,3,"BB CHOC CHIP COOKIE SINGLE 5,25OZ",128
119,958,3,BB CHOC CHRY BARS 12PK,21
120,959,3,BB CHOC FUDGE BAR,61
121,960,3,BB CKS/CREAM SANDWICH SINGLE 1EA,133
122,961,3,BB CNTRY CONE CKS/CRM SGL 1EA,119
123,962,3,BB CNTRY CONE VANILLA SINGLE 1EA,107
124,963,3,BB CREME POPS 24EA,33
125,964,3,BB DIPPED COCONUT FRT BARS,99
126,965,3,BB FUDGE BOMBSTIK SINGLE 1EA,231
127,966,3,BB GREAT DIVIDE SINGLES 1EA,5
128,967,3,BB HOMEMADE VANILLA CUP SGL 1EA,140
129,968,3,BB ICE CREAM SANDWICH 12EA,154
130,969,3,BB ICE CREAM SANDWICH SINGLE 1EA,116
131,970,3,BB KRUNCH BAR SINGLE 1EA,147
132,971,3,BB LIME FRUIT BAR SNGLE,4
133,972,3,BB MINI SANDWICH 24EA,128
134,973,3,BB MINI SWIRL CRML CONES 18OZ,29
135,974,3,BB MINT CCHIP BARS,53
136,975,3,BB MIXED BERRIES FRT BARS,91
137,976,3,"BB NEAO SANDWICH SINGLE 5,75OZ",69
138,977,3,BB NSA MOOO BARS 12EA,52
139,978,3,BB RAINBOW FREEZE SINGLE 1EA,111
140,979,3,BB RAINBOW POP UPS SINGLE 1EA,78
141,980,3,BB SMPLY VAN SNCWCH 8PK,49
142,981,3,BB STRW FRUIT BARS,313
143,982,3,BB SUNDAE CUPS,94
144,983,3,BB TRPL DLGHT SNDWCH 8PK,43
145,994,3,BLUE BELL AST SHERBET 32OZ,437
146,995,3,BLUE BELL BANANA POPS,134
147,996,3,BLUE BELL BRTHDAY CK CUPS 12EA,72
148,997,3,BLUE BELL COCONUT FRUIT BARS,86
149,998,3,BLUE BELL COTTON CANDY BARS,43
150,999,3,BLUE BELL DBL VNLA IC SNDW 1EA,56
151,1000,3,BLUE BELL DREAM BAR,108
152,1001,3,BLUE BELL HMADE VAN CUPS 12EA,316
153,1002,3,BLUE BELL KRUNCH BARS 12EA,202
154,1003,3,BLUE BELL LIME FRUIT BARS,115
155,1004,3,BLUE BELL MINI CONE 12EA,97
156,1005,3,BLUE BELL MINI PARTY CONES,45
157,1006,3,BLUE BELL MOOO BAR,1
158,1007,3,BLUE BELL PEACH FRUIT BARS,86
159,1008,3,BLUE BELL SOUR POPS GREEN APPLE,14
160,1009,3,BLUE BELL STRAWBERRY DIPPED FRUIT BARS,129
161,1010,3,BLUE BELL STRWBRY SHRTCK BR 1EA,67
162,1015,3,BLUEBELL MINI RAINBOWS 24EA,64
163,1016,3,BLUEBELL MOOO BARS 12EA,227
164,1017,3,BLUEBELL NS ADDED PT 16OZ,131
165,1018,3,BLUEBELL SF BULLETS 24EA,94
166,1019,3,BLUEBELL SHERBET RAINBOW 16OZ,138
167,1371,4,BB BANANA FUDGE BAR,170
168,1372,4,BB BDAY PARTY SNDWCH 8PK,18
169,1373,4,BB BULLETS 24EA,128
170,1374,4,BB CHAMP VAR PK CONES,18
171,1375,4,BB CHOC & VAN CUPS 12EA,258
172,1376,4,"BB CHOC CHIP COOKIE SINGLE 5,25OZ",93
173,1377,4,BB CHOC CHRY BARS 12PK,43
174,1378,4,BB CHOC FUDGE BAR,34
175,1379,4,BB CKS/CREAM SANDWICH SINGLE 1EA,127
176,1380,4,BB CNTRY CONE CKS/CRM SGL 1EA,146
177,1381,4,BB CNTRY CONE VANILLA SINGLE 1EA,176
178,1382,4,BB CREME POPS 24EA,37
179,1383,4,BB DIPPED COCONUT FRT BARS,32
180,1384,4,BB FUDGE BOMBSTIK SINGLE 1EA,225
181,1385,4,BB GREAT DIVIDE SINGLES 1EA,3
182,1386,4,BB HOMEMADE VANILLA CUP SGL 1EA,231
183,1387,4,BB ICE CREAM SANDWICH 12EA,168
184,1388,4,BB ICE CREAM SANDWICH SINGLE 1EA,114
185,1389,4,BB KRUNCH BAR SINGLE 1EA,20
186,1390,4,BB LIME FRUIT BAR SNGLE,5
187,1391,4,BB MINI SANDWICH 24EA,125
188,1392,4,BB MINI SWIRL CRML CONES 18OZ,26
189,1393,4,BB MINT CCHIP BARS,58
190,1394,4,BB MIXED BERRIES FRT BARS,58
191,1395,4,"BB NEAO SANDWICH SINGLE 5,75OZ",72
192,1396,4,BB NSA MOOO BARS 12EA,36
193,1397,4,BB RAINBOW FREEZE SINGLE 1EA,77
194,1398,4,BB RAINBOW POP UPS SINGLE 1EA,75
195,1399,4,BB SMPLY VAN SNCWCH 8PK,41
196,1400,4,BB STRW FRUIT BARS,230
197,1401,4,BB SUNDAE CUPS,92
198,1402,4,BB TRPL DLGHT SNDWCH 8PK,41
199,1412,4,BLUE BELL AST SHERBET 32OZ,749
200,1413,4,BLUE BELL BANANA POPS,81
201,1414,4,BLUE BELL BRTHDAY CK CUPS 12EA,54
202,1415,4,BLUE BELL COCONUT FRUIT BARS,56
203,1416,4,BLUE BELL COTTON CANDY BARS,42
204,1417,4,BLUE BELL DBL VNLA IC SNDW 1EA,44
205,1418,4,BLUE BELL DREAM BAR,92
206,1419,4,BLUE BELL HMADE VAN CUPS 12EA,304
207,1420,4,BLUE BELL KRUNCH BARS 12EA,124
208,1421,4,BLUE BELL LIME FRUIT BARS,77
209,1422,4,BLUE BELL MINI CONE 12EA,69
210,1423,4,BLUE BELL MINI PARTY CONES,33
211,1424,4,BLUE BELL MOOO BAR,4
212,1425,4,BLUE BELL PEACH FRUIT BARS,44
213,1426,4,BLUE BELL SOUR POPS GREEN APPLE,3
214,1427,4,BLUE BELL STRAWBERRY DIPPED FRUIT BARS,74
215,1428,4,BLUE BELL STRWBRY SHRTCK BR 1EA,65
216,1433,4,BLUEBELL MINI RAINBOWS 24EA,62
217,1434,4,BLUEBELL MOOO BARS 12EA,167
